Training: 2025-04-05 18:21:52,823-rank_id: 0
Training: 2025-04-05 18:21:53,144-Classes: 2000 synthetic, 0 real - 119999 images - eval: 937
Training: 2025-04-05 18:21:53,453-Total Step is: 37499
Training: 2025-04-05 18:22:57,997-Speed 392.28 samples/sec   Loss 32.0336 Epoch: 0   Global Step: 100   Required: 4 hours
Training: 2025-04-05 18:23:14,370-Speed 390.92 samples/sec   Loss 28.2227 Epoch: 0   Global Step: 150   Required: 4 hours
Training: 2025-04-05 18:23:30,772-Speed 390.20 samples/sec   Loss 26.0695 Epoch: 0   Global Step: 200   Required: 4 hours
Training: 2025-04-05 18:23:47,177-Speed 390.13 samples/sec   Loss 23.9537 Epoch: 0   Global Step: 250   Required: 4 hours
Training: 2025-04-05 18:24:03,596-Speed 389.80 samples/sec   Loss 22.1491 Epoch: 0   Global Step: 300   Required: 3 hours
Training: 2025-04-05 18:24:20,025-Speed 389.56 samples/sec   Loss 20.6210 Epoch: 0   Global Step: 350   Required: 3 hours
Training: 2025-04-05 18:24:36,455-Speed 389.54 samples/sec   Loss 19.2218 Epoch: 0   Global Step: 400   Required: 3 hours
Training: 2025-04-05 18:24:52,884-Speed 389.54 samples/sec   Loss 17.8764 Epoch: 0   Global Step: 450   Required: 3 hours
Training: 2025-04-05 18:25:09,320-Speed 389.40 samples/sec   Loss 16.6654 Epoch: 0   Global Step: 500   Required: 3 hours
Training: 2025-04-05 18:25:25,752-Speed 389.50 samples/sec   Loss 15.5707 Epoch: 0   Global Step: 550   Required: 3 hours
Training: 2025-04-05 18:25:42,186-Speed 389.44 samples/sec   Loss 14.4558 Epoch: 0   Global Step: 600   Required: 3 hours
Training: 2025-04-05 18:25:58,619-Speed 389.46 samples/sec   Loss 13.7078 Epoch: 0   Global Step: 650   Required: 3 hours
Training: 2025-04-05 18:26:15,052-Speed 389.46 samples/sec   Loss 13.0294 Epoch: 0   Global Step: 700   Required: 3 hours
Training: 2025-04-05 18:26:31,482-Speed 389.54 samples/sec   Loss 12.0501 Epoch: 0   Global Step: 750   Required: 3 hours
Training: 2025-04-05 18:26:47,913-Speed 389.51 samples/sec   Loss 11.4782 Epoch: 0   Global Step: 800   Required: 3 hours
Training: 2025-04-05 18:27:04,342-Speed 389.56 samples/sec   Loss 10.8562 Epoch: 0   Global Step: 850   Required: 3 hours
Training: 2025-04-05 18:27:20,773-Speed 389.52 samples/sec   Loss 10.3134 Epoch: 0   Global Step: 900   Required: 3 hours
Training: 2025-04-05 18:27:55,158-[lfw][937]XNorm: 24.113487
Training: 2025-04-05 18:27:55,158-[lfw][937]Accuracy-Flip: 0.76583+-0.01463
Training: 2025-04-05 18:27:55,158-[lfw][937]Accuracy-Highest: 0.76583
Training: 2025-04-05 18:28:20,697-[cfp_fp][937]XNorm: 27.236938
Training: 2025-04-05 18:28:20,697-[cfp_fp][937]Accuracy-Flip: 0.60386+-0.02127
Training: 2025-04-05 18:28:20,697-[cfp_fp][937]Accuracy-Highest: 0.60386
Training: 2025-04-05 18:28:42,733-[agedb_30][937]XNorm: 20.787540
Training: 2025-04-05 18:28:42,733-[agedb_30][937]Accuracy-Flip: 0.51050+-0.01368
Training: 2025-04-05 18:28:42,733-[agedb_30][937]Accuracy-Highest: 0.51050
Training: 2025-04-05 18:29:04,781-[calfw][937]XNorm: 24.349453
Training: 2025-04-05 18:29:04,781-[calfw][937]Accuracy-Flip: 0.59883+-0.01030
Training: 2025-04-05 18:29:04,781-[calfw][937]Accuracy-Highest: 0.59883
Training: 2025-04-05 18:29:26,909-[cplfw][937]XNorm: 22.443802
Training: 2025-04-05 18:29:26,909-[cplfw][937]Accuracy-Flip: 0.60017+-0.01656
Training: 2025-04-05 18:29:26,909-[cplfw][937]Accuracy-Highest: 0.60017
Training: 2025-04-05 18:29:31,354-Speed 49.01 samples/sec   Loss 9.4450 Epoch: 1   Global Step: 950   Required: 5 hours
Training: 2025-04-05 18:29:47,765-Speed 389.97 samples/sec   Loss 8.2372 Epoch: 1   Global Step: 1000   Required: 5 hours
Training: 2025-04-05 18:30:04,183-Speed 389.83 samples/sec   Loss 8.2117 Epoch: 1   Global Step: 1050   Required: 4 hours
Training: 2025-04-05 18:30:20,603-Speed 389.78 samples/sec   Loss 7.7651 Epoch: 1   Global Step: 1100   Required: 4 hours
Training: 2025-04-05 18:30:37,029-Speed 389.62 samples/sec   Loss 7.6437 Epoch: 1   Global Step: 1150   Required: 4 hours
Training: 2025-04-05 18:30:53,452-Speed 389.70 samples/sec   Loss 7.2922 Epoch: 1   Global Step: 1200   Required: 4 hours
Training: 2025-04-05 18:31:09,879-Speed 389.62 samples/sec   Loss 7.0236 Epoch: 1   Global Step: 1250   Required: 4 hours
Training: 2025-04-05 18:31:26,305-Speed 389.62 samples/sec   Loss 6.8402 Epoch: 1   Global Step: 1300   Required: 4 hours
Training: 2025-04-05 18:31:42,733-Speed 389.58 samples/sec   Loss 6.6523 Epoch: 1   Global Step: 1350   Required: 4 hours
Training: 2025-04-05 18:31:59,162-Speed 389.56 samples/sec   Loss 6.4424 Epoch: 1   Global Step: 1400   Required: 4 hours
Training: 2025-04-05 18:32:15,589-Speed 389.60 samples/sec   Loss 6.0987 Epoch: 1   Global Step: 1450   Required: 4 hours
Training: 2025-04-05 18:32:32,019-Speed 389.54 samples/sec   Loss 5.9109 Epoch: 1   Global Step: 1500   Required: 4 hours
Training: 2025-04-05 18:32:48,444-Speed 389.66 samples/sec   Loss 5.6253 Epoch: 1   Global Step: 1550   Required: 4 hours
Training: 2025-04-05 18:33:04,871-Speed 389.60 samples/sec   Loss 5.5025 Epoch: 1   Global Step: 1600   Required: 4 hours
Training: 2025-04-05 18:33:21,297-Speed 389.64 samples/sec   Loss 5.3118 Epoch: 1   Global Step: 1650   Required: 4 hours
