Training: 2025-04-06 00:24:38,645-rank_id: 0
Training: 2025-04-06 00:24:39,030-Classes: 4000 synthetic, 0 real - 239972 images - eval: 1874
Training: 2025-04-06 00:24:39,344-Total Step is: 74991
Training: 2025-04-06 00:25:43,086-Speed 395.55 samples/sec   Loss 34.3040 Epoch: 0   Global Step: 100   Required: 7 hours
Training: 2025-04-06 00:25:59,359-Speed 393.30 samples/sec   Loss 31.9687 Epoch: 0   Global Step: 150   Required: 7 hours
Training: 2025-04-06 00:26:15,679-Speed 392.16 samples/sec   Loss 30.1379 Epoch: 0   Global Step: 200   Required: 7 hours
Training: 2025-04-06 00:26:32,027-Speed 391.49 samples/sec   Loss 28.5883 Epoch: 0   Global Step: 250   Required: 7 hours
Training: 2025-04-06 00:26:48,394-Speed 391.04 samples/sec   Loss 27.1756 Epoch: 0   Global Step: 300   Required: 7 hours
Training: 2025-04-06 00:27:04,774-Speed 390.73 samples/sec   Loss 25.8962 Epoch: 0   Global Step: 350   Required: 7 hours
Training: 2025-04-06 00:27:21,161-Speed 390.55 samples/sec   Loss 24.6951 Epoch: 0   Global Step: 400   Required: 7 hours
Training: 2025-04-06 00:27:37,558-Speed 390.32 samples/sec   Loss 23.4133 Epoch: 0   Global Step: 450   Required: 7 hours
Training: 2025-04-06 00:27:53,961-Speed 390.18 samples/sec   Loss 22.3847 Epoch: 0   Global Step: 500   Required: 7 hours
Training: 2025-04-06 00:28:10,367-Speed 390.09 samples/sec   Loss 21.2763 Epoch: 0   Global Step: 550   Required: 7 hours
Training: 2025-04-06 00:28:26,779-Speed 389.98 samples/sec   Loss 20.3529 Epoch: 0   Global Step: 600   Required: 7 hours
Training: 2025-04-06 00:28:43,197-Speed 389.82 samples/sec   Loss 19.5462 Epoch: 0   Global Step: 650   Required: 7 hours
Training: 2025-04-06 00:28:59,612-Speed 389.89 samples/sec   Loss 18.7010 Epoch: 0   Global Step: 700   Required: 7 hours
